,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH of Experimental Intervention,,3.5105706704659516,59.0,greater,0.0004318309290098924,[2.33  inf],0.4337932529418058,61.159,0.953168571924128,28.536982533333333,11.310731627065211,24.091373966666666,8.866707267609138,4.445608566666667,0.15578411492784366
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH of Experimental Intervention,,2.6237285814097286,59.0,greater,0.005526881742335489,[1.75  inf],0.37498503859566457,6.43,0.8899388912371764,25.95028987,11.139414079938595,21.133782345,14.15549663737861,4.816507524999999,0.18560515312656117
T-test,Accuracies' Stats BTW Assessment and Testing ToH of Experimental Intervention,,8.900881056749055,59.0,greater,8.3582846300548e-13,[27.25   inf],1.2237212073023234,1.012e+10,1.0,82.55271672771673,36.287956214761145,49.006739417989415,12.692115243712594,33.54597730972731,33.54597730972731
T-test,Speed's Stats BTW Assessment and Testing ToH of Experimental Intervention,,8.917082493639864,59.0,greater,7.85362230857149e-13,[163.09    inf],1.0607721509952763,1.074e+10,0.9999999999999999,549.111213725,233.66794781619473,348.41016710499997,125.70370872898563,200.70104662,0.3655016353763865
0,Metrics Stats BTW Assessment and Testing for Path-Tracing of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Path Tracing Control Comparison,,5.086907245758333,59.0,greater,1.983772005099702e-06,[9.18  inf],0.5943174699538384,8670.077,0.9981642925524301,79.24646401666666,21.503250952761114,65.5777084,24.039420244962507,13.668755616666658,0.1724841074775516
T-test,Interruption Lag's Stats BTW Assessment and Testing Path Tracing Control Comparison,,3.5484242844052765,59.0,greater,0.00038379750951005357,[ 3. inf],0.4374929404156697,68.017,0.9558753072239768,26.672111966666666,14.949129830911884,20.9926977,10.390212801592087,5.679414266666665,0.21293455403023517
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing Control Comparison,,3.330200361739441,59.0,greater,0.0007502520591710377,[0.38  inf],0.3864445512847693,37.249,0.9055648444441698,17.955555555555556,1.982765246995054,17.194444444444446,1.9228563501233984,0.7611111111111093,0.7611111111111093
T-test,Speed's Stats BTW Assessment and Testing Path Tracing Control Comparison,,3.4767296365041602,59.0,greater,0.00047956396543024764,[10.05   inf],0.3918732156029369,55.651,0.9123685712183497,153.94945296833333,45.512901697122345,134.60626246666666,52.156918220968805,19.34319050166667,0.12564637372011625
0,Metrics Stats BTW Assessment and Testing for ToH of Control Comparison,,,,,,,,,,,,,,,
